Full Entry,Hansi,Pinyin,OC,PoS,Definitions,MC_BS,MC_Pretty,BS_Gloss,Order
"買 mǎi, *mrêʔ, vtr, ‘buy’, 買鬻，易也 (Mo 40); a tr: 貴即賣之，賤則買之 (SJ 30); 賈人買百里奚以五羖羊之皮 (SY 2); b pass: 人不死則棺不買 (HFei 17); c pseudo-tr2: 請買其方百金 (Zhuang 1); 馬 已死，買其骨五百金 (XX 3.4).",買,mǎi,*mrêʔ,vtr,"‘buy’, 買鬻，易也 (Mo 40); a tr: 貴即賣之，賤則買之(SJ 30); 賈人買百里奚以五羖羊之皮 (SY 2); b pass: 人不死則棺不買 (HFei 17); c pseudo-tr2: 請買其方百金(Zhuang 1); 馬 已死，買其骨五百金 (XX 3.4).",meaX,méa,buy,118279
"能 néng, *nəŋ̂ /nəʔ̂ , vn, 1 ‘be able (to do sth.), capable (of doing sth.)’, a tr: 唯賢者 能之 (Li 25); 客何能，曰客無能也 (ZGC 11.1); b itr: 夫子欲寡其過而未能 也 (LY 14.25); 將能而君不御者勝 (Sun 3); 乾以易知，坤以簡能 (Yi 7); c typically as aux: 冬與夏不能兩刑，草與稼 不能兩成 (Lü 24.5); cf. 4.4.1; 2 nc, ‘ability, capability; capable person’: 我且賢之 用，能之使 (HFei 33).",能,néng,*nəŋ̂ /nəʔ̂,vn,"1 ‘be able (to do sth.), capable (of doing sth.)’, a tr: 唯賢者 能之 (Li 25); 客何能，曰客無能也 (ZGC 11.1); b itr: 夫子欲寡其過而未能 也 (LY 14.25); 將能而君不御者勝(Sun 3); 乾以易知，坤以簡能 (Yi 7); c typically as aux: 冬與夏不能兩刑，草與稼 不能兩成 (Lü 24.5); cf. 4.4.1; 2 nc, ‘ability, capability; capable person’: 我且賢之用，能之使 (HFei 33).",noj,nōȷ,a kind of bear,119002
"敢 gǎn, *kâmʔ, vn, ‘be courageous, audacious, impudent’, a itr: 惡果敢而窒 者 (LY 17.24); b tr: 遵汶之上，不敢左右 (GY 19.4); c typically aux, ‘dare, venture, presume to’: 楚不敢伐 (Zuo 2.6); 子無敢 食我也 (ZGC 14.3); cf. 4.4.1.",敢,gǎn,*kâmʔ,vn,"‘be courageous, audacious, impudent’, a itr: 惡果敢而窒 者 (LY 17.24); b tr: 遵汶之上，不敢左右 (GY 19.4); c typically aux, ‘dare, venture, presume to’: 楚不敢伐(Zuo 2.6); 子無敢 食我也 (ZGC 14.3); cf. 4.4.1.",kamX,kám,dare,119030
"肯 kěn/kěng, *khêŋʔ, vn, ‘be willing, ready to’, aux: 幼而不肯事長，賤而不 肯事貴，不肖而不肯事賢，是人之三 不祥也 (Xun 5). Cf. 4.4.1.",肯,kěn,*khêŋʔ,vn,"‘be willing, ready to’, aux: 幼而不肯事長，賤而不 肯事貴，不肖而不肯事賢，是人之三 不祥也 (Xun 5). Cf. 4.4.1.",khongX,khóng,to be willing,119044
"知 zhī, *tre, vn,‘be knowledgeable, know (about), recognize, understand; a tr: 不出 戶而知天下 (HSWZ 3); with O clause: 知國之將亡也 (SY 13); ‘know how to (do sth.)’; with inf. O: 惠而不知為政 (Meng 4B4); 古之真人，不知說生，不知惡死 (Zhuang 6); cf. 4.4.1; b itr: 豈不愚而知矣 (Xun 6); 乾以易知，坤以簡能 (Yi 7); c mod (!): 知農不離其故事，則草必墾矣 (SJS 2). Ant. 愚 [61.9]; syn. 叡[29.14].",知,zhī,*tre,vn,"‘be knowledgeable, know (about), recognize, understand; a tr: 不出 戶而知天下 (HSWZ 3); with O clause: 知國之將亡也 (SY 13); ‘know how to (do sth.)’; with inf. O: 惠而不知為政 (Meng 4B4); 古之真人，不知說生，不知惡死 (Zhuang 6); cf. 4.4.1; b itr: 豈不愚而知矣 (Xun 6); 乾以易知，坤以簡能 (Yi 7); c mod (!): 知農不離其故事，則草必墾矣 (SJS 2). Ant. 愚 [61.9]; syn. 叡[29.14].",trje,ṭȷē,know,119064
"務 wù, *moh, vn, 1 ‘strive for, exert oneself’, a tr: 故糟糠不飽者不務梁肉 (HFei 49); b itr: 莫若射，故聖王務焉 (Li 46); 天下方務於合從連衡 (SJ 74); c aux, ‘strive to (do sth.)’: 陽虎務取之，我務守 之 (HFei 33); cf. 4.4.1; 2 nc,‘effort; concern; task’: 凡有地牧民者，務在四時(Guan 1); 唯幾也，故能成天下之務 (Yi 7).",務,wù,*moh,vn,"1 ‘strive for, exert oneself’, a tr: 故糟糠不飽者不務梁肉(HFei 49); b itr: 莫若射，故聖王務焉 (Li 46); 天下方務於合從連衡 (SJ 74); c aux, ‘strive to (do sth.)’: 陽虎務取之，我務守 之 (HFei 33); cf. 4.4.1; 2 nc,‘effort; concern; task’: 凡有地牧民者，務在四時 (Guan 1); 唯幾也，故能成天下之務 (Yi 7).",mjuH,mȷù,exert oneself,119095
"宜 yí,*ŋai,vst,1‘beappropriate’,aitr:宜 乎百姓之謂我愛也(Meng 1A1); b caus, ‘find appropriate, approve of’: 子甚宜其 妻 (Li 12); c mod: 中國夷蠻戎狄，皆有 安居和味宜服利用備器 (Li 5); b aux, ‘should (do sth.)’: 是宜為君，有恤民之 心 (Zuo 3.11); cf. 4.4.1; 2 nc, ‘proper place, position, method’, etc.: 羣道當則萬物皆 得其宜 (Xun 9); 禮從宜，使從俗 (Li 1).",宜,yí,*ŋai,vst,"1‘beappropriate’,aitr:宜 乎百姓之謂我愛也 (Meng 1A1); b caus, ‘find appropriate, approve of’: 子甚宜其 妻 (Li 12); c mod: 中國夷蠻戎狄，皆有 安居和味宜服利用備器(Li 5); b aux, ‘should (do sth.)’: 是宜為君，有恤民之 心(Zuo 3.11); cf. 4.4.1; 2 nc, ‘proper place, position, method’, etc.: 羣道當則萬物皆 得其宜 (Xun 9); 禮從宜，使從俗 (Li 1).",ngje,ngȷē,sacrifice to the deity of the soil (K),119157
"深 shēn,*nhəm,vst,‘bedeep,profound’, a itr: 水益深，...火益熱 (Meng 1B17); b caus: 子深其深，淺其淺，益其益，尊 其尊 (Mo 44); c comp: 傷人之言，深於 矛戟 (Xun 4); 天下之患，莫深於獄 (SY 5). Ant. 淺[85.8].",深,shēn,*nhəm,vst,"‘bedeep,profound’, a itr: 水益深，...火益熱 (Meng 1B17); b caus: 子深其深，淺其淺，益其益，尊 其尊(Mo 44); c comp: 傷人之言，深於 矛戟 (Xun 4); 天下之患，莫深於獄 (SY 5). Ant. 淺[85.8].",syim,s̯ı̄m,deep,119273
"火 huǒ, *hməî ʔ, nc, 1 深，...火益熱 (Meng 1B17); 火居南方 而主夏氣 (CQFL 42); ant. 水 [85.0]; 2 vi, ‘burn’, a itr: 新宮火，亦三日哭 (Li 4); b caus: 夏，成周宣榭火，人火之也(Zuo 7.16).",火,huǒ,*hməî ʔ,nc,"1 深，...火益熱 (Meng 1B17); 火居南方 而主夏氣 (CQFL 42); ant. 水 [85.0]; 2 vi, ‘burn’, a itr: 新宮火，亦三日哭(Li 4); b caus: 夏，成周宣榭火，人火之也 (Zuo 7.16).",xwaX,xwá,fire,119296
"熱 rè, *ŋet, vst, ‘be hot’, a itr: 天久不 雨，髮將焦，身將熱(SY 18); 夏寒冬 溫，春熱秋榮 (HSWZ 2); b comp: 水益深，...火益熱 (Meng 1B17); c mod: 朝寒 請進熱食 (SY 2).",熱,rè,*ŋet,vst,"‘be hot’, a itr: 天久不 雨，髮將焦，身將熱 (SY 18); 夏寒冬 溫，春熱秋榮 (HSWZ 2); b comp: 水益 深，...火益熱(Meng 1B17); c mod: 朝寒 請進熱食 (SY 2).",nyet,n̯et,hot,119314
"訟 sòng,*s-loŋ,vn,‘dispute,sue,litigate’, a itr: 聽訟，吾猶人也，必也使無訟乎 (LY 12.13); 閭里不訟於巷 (XY 8); b tr: 言 至而無所訟之也 (GY 8.1); 吾未見能見 其過而內自訟者也(LY 5.27); c pseudo-tr: 辯訟公門之下 (YTL 27).",訟,sòng,*s-loŋ,vn,"‘dispute,sue,litigate’, a itr: 聽訟，吾猶人也，必也使無訟乎 (LY 12.13); 閭里不訟於巷 (XY 8); b tr: 言 至而無所訟之也 (GY 8.1); 吾未見能見 其過而內自訟者也 (LY 5.27); c pseudo-tr: 辯訟公門之下 (YTL 27).",zjowngH,zȷòwng,litigate,119362
"蔡 Cài,*tsretsnp,apolity:武王...封弟 叔鮮於管，弟叔度於蔡 (SJ 4). Note: 蔡, located in present-day Henan, was given as a fief to a brother of King Wu of Zhou in the eleventh century bc. Repeatedly harassed by Chu 楚 in the Chunqiu period, it was finally destroyed by Chu in 447 bc.",蔡,Cài,*tsrets,np,"a polity: 武王...封弟 叔鮮於管，弟叔度於蔡 (SJ 4). Note: 蔡 located in present-day Henan, was given as a fief to a brother of King Wu of Zhou in the eleventh century bc. Repeatedly harassed by Chu 楚 in the Chunqiu period, it was finally destroyed by Chu in 447 bc.",tshajH,tshàȷ,(name of a state),119385
"棺 guān,*kôn,nc,‘(inner)coffin’:人不 死則棺不買 (HFei 17).",棺,guān,*kôn,nc,‘(inner)coffin’:人不 死則棺不買 (HFei 17).,kwan,kwān,inner coffin,119405
"色 sè, *srək, nc, ‘colour; countenance, facial expression; beauty’: 吾未見好德如 好色者也 (LY 9.18).",色,sè,*srək,nc,"‘colour; countenance, facial expression; beauty’: 吾未見好德如 好色者也 (LY 9.18).",srik,ṣık,color; countenance,119628
"罪 zuì, *dzûiʔ, nc, 1 ‘crime, offence, guilt, fault’: 無功不賞， 無罪不罰 (Xun 9); 君若以臣為有罪 (Zuo 10.31); 臣寧得 罪於王，無負於先王 (SY 9); 2 vtr, ‘blame, accuse, condemn’, a tr: 我將罪賤 之 (Mo 13); 命吏罪之 (Lü 17.3); b pass: 夫 離法者罪 (HFei 49); c pass with C: 竊駕 君車罪刖 (SY 17).",罪,zuì,*dzûiʔ,nc,"1 ‘crime, offence, guilt, fault’: 無功不賞， 無罪不罰(Xun 9); 君若以臣為有罪 (Zuo 10.31); 臣寧得 罪於王，無負於先王 (SY 9); 2 vtr, ‘blame, accuse, condemn’, a tr: 我將罪賤 之 (Mo 13); 命吏罪之 (Lü 17.3); b pass: 夫離法者罪 (HFei 49); c pass with C: 竊駕 君車罪刖 (SY 17).",dzwojX,dzwóȷ,"crime, offense",119664
"請 qǐng,*tsheŋʔ, vn,‘beg, ask, request’, a tr: 請京，使居之 (Zuo 1.1); 臣請為王言 樂 (Meng 1B1); b itr: 亟請於武公，公弗 許 (Zuo 1.1); c pseudo-tr2: 臣愚不識，請 占之五泰 (Xun 26).",請,qǐng,*tsheŋʔ,vn,"‘beg, ask, request’, a tr: 請京，使居之 (Zuo 1.1); 臣請為王言 樂 (Meng 1B1); b itr: 亟請於武公，公弗 許 (Zuo 1.1); c pseudo-tr2: 臣愚不識，請 占之五泰 (Xun 26).",tshjengX,tshȷéng,request,119794
"免 miǎn, *mranʔ, vi, ‘avoid, escape’, a itr: 吾不免是懼(Zuo 9.22); 事之以珠 玉，不得免焉 (Meng 1B15); b caus, ‘rescue, release’: 倒戟以禦公徒，而免之 (Zuo 7.2). Dist. 兔 [10.6].",免,miǎn,*mranʔ,vi,"‘avoid, escape’, a itr: 吾不免是懼 (Zuo 9.22); 事之以珠玉，不得免焉 (Meng 1B15); b caus, ‘rescue, release’: 倒戟以禦公徒，而免之 (Zuo 7.2). Dist. 兔 [10.6].",mjenX,mȷén,avoid,121030
"害 hài, *gâts, nc, 1 ‘damage, harm’: 害 者， 利之反也(HFei 46); 此天下之害 與，天下之利與 (Mo 16); 2 vn, ‘damage, harm, hurt’, a itr: 生有益於人，死不害 於人 (Li 3); 利則行之，害則捨之 (SJ 79); b tr: 不以私害公 (LNZ 5.6); 豈害我 哉 (Zuo 5.5). Syn. 禍 [113.9]; ant. 利 [18.6].",害,hài,*gâts,nc,"1 ‘damage, harm’: 害 者， 利之反也 (HFei 46); 此天下之害 與，天下之利與 (Mo 16); 2 vn, ‘damage, harm, hurt’, a itr: 生有益於人，死不害 於人 (Li 3); 利則行之，害則捨之 (SJ 79); b tr: 不以私害公 (LNZ 5.6); 豈害我 哉(Zuo 5.5). Syn. 禍 [113.9]; ant. 利 [18.6].",hajH,hàȷ,be hurt (v.i.); injury (n.),121303
"殺 shā, *srât, vtr, ‘kill, slay’, a tr: 楚人執 而殺之 (Zuo 10.8); b pass: 先令者殺 (HFei 19); 隱公慈而殺於弟，叔武賢而 殺於兄 (HSWZ 7); 公子不可以入，入 則殺矣 (GYang 5.1); 姦人者殺 (SY 15). Note: Violence being rampant in ancient China, there were several distinct words for taking someone’s life. Whereas 殺 is the most general term, 弒 means assassinating a superior, 賊 denotes malicious murder; 戮 means a dishonourable execution; 殘 means cruel (mass) slaughter; 滅 denotes the extinction of a whole group. Cf. also the notes at 死[78.2] and 刑 [18.4].",殺,shā,*srât,vtr,"‘kill, slay’, a tr: 楚人執 而殺之 (Zuo 10.8); b pass: 先令者殺 (HFei 19); 隱公慈而殺於弟，叔武賢而 殺於兄(HSWZ 7); 公子不可以入，入 則殺矣 (GYang 5.1); 姦人者殺 (SY 15). Note: Violence being rampant in ancient China, there were several distinct words for taking someone’s life. Whereas 殺 is the most general term, 弒 means assassinating a superior, 賊 denotes malicious murder; 戮 means a dishonourable execution; 殘 means cruel (mass) slaughter; 滅denotes the extinction of a whole group. Cf. also the notes at 死 [78.2] and 刑 [18.4].",sreat,ṣeat,kill,122233
"欺 qī, *khə, vn, ‘cheat, lie to, deceive’, a tr: 吾誰欺，欺天乎 (LY 9.12); b itr: 臣下 百吏誕詐之人乘是而後欺 (Xun 12); 侮 蔽惡以欺於君 (HFei 34); but c pass [!]: 故主必欺於上，而臣必重於下矣 (HFei 14); 王欺於張儀 (SJ 40).",欺,qī,*khə,vn,"‘cheat, lie to, deceive’, a tr: 吾誰欺，欺天乎 (LY 9.12); b itr: 臣下 百吏誕詐之人乘是而後欺 (Xun 12); 侮 蔽惡以欺於君 (HFei 34); but c pass [!]: 故主必欺於上，而臣必重於下矣 (HFei 14); 王欺於張儀 (SJ 40).",khi,khı̄,"to deceive, cheat",122357
"罔 wǎng,*maŋʔ,nc,1‘net’:作結繩而為 罔罟，以佃以漁 (Yi 8); 罔罟毒藥不入 澤 (Xun 9); 2 vn, ‘net, catch, entangle’, tr: 以左右望而罔市利 (Meng 2B10); 不能 以非功罔上利(SJS 17).",罔,wǎng,*maŋʔ,nc,"1‘net’:作結繩而為 罔罟，以佃以漁 (Yi 8); 罔罟毒藥不入澤 (Xun 9); 2 vn, ‘net, catch, entangle’, tr: 以左右望而罔市利 (Meng 2B10); 不能 以非功罔上利 (SJS 17).",mjangX,mȷáng,net,122376
"罔 wǎng, *maŋʔ, vi, 1 ‘be confused, unclear, disoriented’, a itr: 學而不思則 罔，思而不學則殆 (LY 2.15); 離離 然，偷儒而罔 (Xun 6); b caus, ‘confuse, deceive, cheat’: 及陷於罪，然後從而刑 之，是罔民也(Meng 1A7); 君子...可欺 也，不可罔也 (LY 6.26).",罔,wǎng,*maŋʔ,vi,"1 ‘be confused, unclear, disoriented’, a itr: 學而不思則罔，思而不學則殆 (LY 2.15); 離離 然，偷儒而罔 (Xun 6); b caus, ‘confuse, deceive, cheat’: 及陷於罪，然後從而刑 之，是罔民也 (Meng 1A7); 君子...可欺 也，不可罔也(LY 6.26).",mjangX,mȷáng,net,122376
"勢 shì,*nhets,nc,1‘circumstances, condition; influence; power’: 處勢而驕下者，庸 主之所易也 (HFei 36); 聖王就其勢，因 其便，不失其性 (SY 18); 2 vn, ‘condition, bring about’, tr: 故夫名分定，勢治之道 也;名分不定，勢亂之道也 (SJS 26).",勢,shì,*nhets,nc,"1‘circumstances, condition; influence; power’: 處勢而驕下者，庸 主之所易也 (HFei 36); 聖王就其勢，因 其便，不失其性 (SY 18); 2 vn, ‘condition, bring about’, tr: 故夫名分定，勢治之道 也;名分不定，勢亂之道也 (SJS 26).",syejH,s̯èȷ,"circumstances, setting",122402
"憂 yōu,*ʔu,vn,1‘worry(about),be worried, sad’, a tr: 父母唯其疾之憂 (LY 2.6); b itr: 君子不憂不懼 (LY 12.4); syn. 懼[61.18]; 2 adv, ‘anxiously’: 司馬牛憂曰(LY 12.5); 3 nc, ‘sadness, sorrow, worry’: 外無敵國之 患，內無亂臣之憂(HFei 14); 悔吝 者，憂虞之象也 (Yi 7); syn. 患 [61.7].",憂,yōu,*ʔu,vn,"1‘worry(about),be worried, sad’, a tr: 父母唯其疾之憂(LY 2.6); b itr: 君子不憂不懼 (LY 12.4); syn. 懼 [61.18]; 2 adv, ‘anxiously’: 司馬牛憂曰(LY 12.5); 3 nc, ‘sadness, sorrow, worry’: 外無敵國之 患，內無亂臣之憂 (HFei 14); 悔吝 者，憂虞之象也 (Yi 7); syn. 患 [61.7].",juw,ȷūw,"grief, grieved",124548
"侵 qīn, *tshəm, vtr, ‘invade, raid, encroach, violate’, 凡師有鍾鼓曰伐， 無 曰侵， 輕曰襲 (Zuo 3.29); a tr: 夏，鄭人侵許 (Zuo 3.29); 以為侵官之害甚於 寒 (HFei 7); b pass: 非侵於諸侯，必劫 於百姓 (SJS 25); 故上失其道則邊侵於 敵(Lü 3.3). Cf. note at 征 [60.5].",侵,qīn,*tshəm,vtr,"‘invade, raid, encroach, violate’, 凡師有鍾鼓曰伐， 無曰侵， 輕曰襲 (Zuo 3.29); a tr: 夏，鄭 人侵許 (Zuo 3.29); 以為侵官之害甚於 寒 (HFei 7); b pass: 非侵於諸侯，必劫 於百姓 (SJS 25); 故上失其道則邊侵於 敵 (Lü 3.3). Cf. note at 征 [60.5].",tshim,tshı̄m,invade,124555
"觀 guān, *kôn, vn, ‘look at, observe; contemplate’, a tr: 父在，觀其志，父 沒，觀其行 (LY 1.11); b itr: 季桓子微服往觀再三 (SJ 47); 孔子之周，觀於太廟 右陛之前 (SY 10).",觀,guān,*kôn,vn,"‘look at, observe; contemplate’, a tr: 父在，觀其志，父沒，觀其行 (LY 1.11); b itr: 季桓子微服 往觀再三 (SJ 47); 孔子之周，觀於太廟 右陛之前 (SY 10).",kwan,kwān,look (v.),124564
"觀 guàn,*kôns,vn [<preceding],1‘show’,a tr2: 觀之伐齊以弊吳 (HFei 21); b tr with PrP: 嘉量既成，以觀四國 (ZL 78); 2 nc, ‘watchtower’: 事畢，出游於觀之上 (Li 9).",觀,guàn,*kôns,vn [<preceding],"1‘show’,a tr2: 觀之伐齊以弊吳 (HFei 21); b tr with PrP: 嘉量既成，以觀四國 (ZL 78); 2 nc, ‘watchtower’: 事畢，出游於觀之上 (Li 9).",kwanH,kwàn,watchtower,124564
"伐 fá, *bat, vn, 1 ‘attack, strike’, 凡師，有 鐘鼓曰伐，無曰侵，輕曰襲 (Zuo 3.29); a tr: 昔文公與秦伐鄭 (Zuo 9.14); b itr: 湯 武征伐(HFei49);且欲東伐(SJ5);cf.note at 征[60.5]; 2 nc, ‘feat, exploit’: 乃可以威民 而懼戎，且旌君伐(GY 7.6). Dist. 代 [9.3].",伐,fá,*bat,vn,"1 ‘attack, strike’, 凡師，有 鐘鼓曰伐，無曰侵，輕曰襲(Zuo 3.29); a tr: 昔文公與秦伐鄭 (Zuo 9.14); b itr: 湯 武征伐(HFei49);且欲東伐(SJ5);cf.note at 征 [60.5]; 2 nc, ‘feat, exploit’: 乃可以威民 而懼戎，且旌君伐 (GY 7.6). Dist. 代 [9.3].",bjot,bȷot,cut; strike; attack,124571
"伐 fá, *bat, vtr, ‘cut, fell (trees)’, a tr: 禁 止伐木 (Li 6); b pass: 直木先伐，甘井 先竭 (Zhuang 20). Dist. 代 [9.3].",伐,fá,*bat,vtr,"‘cut, fell (trees)’, a tr: 禁 止伐木 (Li 6); b pass: 直木先伐，甘井 先竭 (Zhuang 20). Dist. 代 [9.3].",bjot,bȷot,cut; strike; attack,124571
"甘 gān, *kâm, vst, ‘be sweet, delicious’, a mod: 直木先伐，甘井先竭 (Zhuang 20); b caus: 甘其食，美其服 (Lao 80). Ant. 苦 [140.5].",甘,gān,*kâm,vst,"‘be sweet, delicious’, a mod: 直木先伐，甘井先竭(Zhuang 20); b caus: 甘其食，美其服 (Lao 80). Ant. 苦[140.5].",kam,kām,sweet,124580
"井 jǐng,*tseŋʔ,nc,‘well’:直木先伐，甘 井先竭 (Zhuang 20).",井,jǐng,*tseŋʔ,nc,‘well’:直木先伐，甘 井先竭 (Zhuang 20).,tsjengX,tsȷéng,well (n.),124581
"竭 jié, *gat, vtr,‘dry up, exhaust’: a tr: 事 父母能竭其力(LY 1.7); b pass: 直木先 伐，甘井先竭 (Zhuang 20); 地侵於 齊，貨竭於晉 (SY 13); 耳目竭於聲 色，精神竭於外貌(HFei 21). Syn. 虛 [141.6]; 盡 [108.9]; ant. 盈 [108.4].",竭,jié,*gat,vtr,"‘dry up, exhaust’: a tr: 事 父母能竭其力 (LY 1.7); b pass: 直木先 伐，甘井先竭 (Zhuang 20); 地侵於 齊，貨竭於晉 (SY 13); 耳目竭於聲 色，精神竭於外貌 (HFei 21). Syn. 虛 [141.6]; 盡 [108.9]; ant. 盈 [108.4].",gjet,gȷet,exhaust (v.); dry up,124583
"形/刑 xíng, *gêŋ, nc, 1 ‘form, shape’: 物成生理謂之形(Zhuang 12); 形色，天 性也 (Meng 7A38); 在天成象，在地成 形 (Li 19); 形者，生之具也 (SJ 130); 2 vi, ‘form, take shape, appear’, a itr: 冬與夏不 能兩刑 (Lü 24.5); 勝敗存亡之機固已形 於胸中矣 (SJ 69); b caus: 長短相形 (Lao 2); 道生之，德畜之，物形之，勢成之 (Lao 51); 著有過，刑仁講讓 (Li 9).",形/刑,xíng,*gêŋ,nc,"1 ‘form, shape’: 物成生理謂之形 (Zhuang 12); 形色，天性也 (Meng 7A38); 在天成象，在地成 形 (Li 19); 形者，生之具也 (SJ 130); 2 vi, ‘form, take shape, appear’, a itr: 冬與夏不 能兩刑 (Lü 24.5); 勝敗存亡之機固已形 於胸中矣 (SJ 69); b caus: 長短相形 (Lao 2); 道生之，德畜之，物形之，勢成之 (Lao 51); 著有過，刑仁講讓 (Li 9).",heng,hēng,"form, shape",126409
"除 chú, *d-la, vtr, ‘remove, eradicate, eliminate’, a tr: 除其害者以持養之 (Xun 1); 救患除禍，則莫若明分使群 矣(Xun 10); b pass: 如是則天下之害除 (Xun 6).",除,chú,*d-la,vtr,"‘remove, eradicate, eliminate’, a tr: 除其害者以持養之(Xun 1); 救患除禍，則莫若明分使群 矣 (Xun 10); b pass: 如是則天下之害除 (Xun 6).",drjo,ḍȷō,remove; get rid of,126520
"監 jiān, *krâm, vn, ‘observe, oversee’, a tr: 得衛巫，使監謗者 (GY 1.3); b itr: 以 遺後之人，使永監焉 (GY 3.9).",監,jiān,*krâm,vn,"‘observe, oversee’, a tr: 得衛巫，使監謗者 (GY 1.3); b itr: 以 遺後之人，使永監焉 (GY 3.9).",kaem,kāem,inspect,127550
"藍 lán, *râm, nc, ‘indigo; indigo plant’: 青，取之於藍而青於藍 (Xun 1).",藍,lán,*râm,nc,‘indigo; indigo plant’: 青，取之於藍而青於藍 (Xun 1).,lam,lām,indigo,127568
"事 shì, *s-rəʔ, nc, 1 ‘service, business, task, matter’: 自今子其無事矣 (Zuo 10.3); 2 vn, ‘serve, carry out (an assignment)’, a tr: 事父母能竭其力，事君能致其身 (LY 1.7); 雖欲事秦，不可得也 (ZGC 8.17); esp. ‘sacrifice (to)’: 不肯事上帝 (Mo 27); b tr with PrP: 狄人侵之，事之以皮幣(Meng 1B15); c itr: 獨樂其志，不事於世 (Zhuang 28); 大事于大廟 (Zuo 6.2).",事,shì,*s-rəʔ,nc,"1 ‘service, business, task, matter’: 自今子其無事矣(Zuo 10.3); 2 vn, ‘serve, carry out (an assignment)’, a tr: 事父母能竭其力，事君能致其身 (LY 1.7); 雖欲事秦，不可得也 (ZGC 8.17); esp. ‘sacrifice (to)’: 不肯事上帝 (Mo 27); b tr with PrP: 狄人侵之，事之以皮幣 (Meng 1B15); c itr: 獨樂其志，不事於世 (Zhuang 28); 大事于大廟(Zuo 6.2).",dzriH,dẓı̀,"serve; service, affair",135705
"卒 zú,*tsût,nc,‘soldier;batallion’:繕甲 兵，具卒乘 (Zuo 1.1); 休卒徒 (Zhuang 29).",卒,zú,*tsût,nc,‘soldier;batallion’:繕甲 兵，具卒乘 (Zuo 1.1); 休卒徒(Zhuang 29).,tswit,tswıt,"finish, die",135815
"卒 zú, *tsut, vi, 1 ‘end, finish; die’, a itr: 九月衛穆公卒(Zuo 8.2); b caus: 此不卒 者也，何以卒之，以其來會葬，我卒 之也 (GLiang 6.3); cf. note at 死 [78.2]; 2 adv, ‘in the end, finally’: 桓子卒受齊女 樂 (SJ 47). Ant. 始 [38.5].",卒,zú,*tsut,vi,"1 ‘end, finish; die’, a itr: 九月衛穆公卒 (Zuo 8.2); b caus: 此不卒 者也，何以卒之，以其來會葬，我卒 之也(GLiang 6.3); cf. note at 死 [78.2]; 2 adv, ‘in the end, finally’: 桓子卒受齊女 樂 (SJ 47). Ant. 始 [38.5].",tswit,tswıt,"finish, die",135815
"卒 cù, *tshût, adv, ‘abruptly, brusquely, suddenly’: 卒然問 (Meng 1A6); 卒然相 遇 (Wu 5).",卒,cù,*tshût,adv,"‘abruptly, brusquely, suddenly’: 卒然問 (Meng 1A6); 卒然相 遇 (Wu 5).",tswit,tswıt,,135815
"徒 tú, *dâ, nc, ‘footsoldier’: 休卒徒 (Zhuang 29); ‘follower, disciple’: 仲尼之 徒，無道桓文之事者 (Meng 1A7); ‘people like...’: 鄧析惠施之徒也 (HSWZ 4); ‘corvée labourer’: 被刑之徒 (SY 5). Dist. 徙 [60.8].",徒,tú,*dâ,nc,"‘footsoldier’: 休卒徒 (Zhuang 29); ‘follower, disciple’: 仲尼之 徒，無道桓文之事者 (Meng 1A7); ‘people like...’: 鄧析惠施之徒也 (HSWZ 4); ‘corvée labourer’: 被刑之徒(SY 5). Dist. 徙 [60.8].",du,dū,go on foot,135835
"徒 tú, *dâ, adv, ‘only, just’: 王如用 予，則豈徒齊民安，天下之民舉安 (Meng 2B12); 強秦之所以不敢加兵于趙 者，徒以吾兩人在也 (SJ 81); ofen negated: 非徒無益，而又害之(Meng 2A2); 非徒無生也，而本無形 (Zhuang 18); emphatic, ‘simply’: 夫子徒無所不知 (Xun 29). Dist. 徙[60.8].",徒,tú,*dâ,adv,"‘only, just’: 王如用 予，則豈徒齊民安，天下之民舉安(Meng 2B12); 強秦之所以不敢加兵于趙 者，徒以吾兩人在也 (SJ 81); ofen negated: 非徒無益，而又害之 (Meng 2A2); 非徒無生也，而本無形 (Zhuang 18); emphatic, ‘simply’: 夫子徒無所不知 (Xun 29). Dist. 徙 [60.8].",du,dū,go on foot,135835
"里 lǐ, *rəʔ, nc, ‘village, settlement, neighbourhood’: 百家為里 (Guan 57); 五 家為鄰， 五鄰為里 (ZL 29); 里仁為美(LY 4.1).",里,lǐ,*rəʔ,nc,"‘village, settlement, neighbourhood’: 百家為里 (Guan 57); 五 家為鄰， 五鄰為里 (ZL 29); 里仁為美 (LY 4.1).",liX,lı́,li (measure of distance); village,135888
"里 lı̌,*rəʔ,nc,‘(Chinese)mile’,aboutone quarter of a mile: 叟不遠千里而來 (Meng 1A1); 不積跬步，無以至千里 (Xun 1).",里,lı̌,*rəʔ,nc,"‘(Chinese)mile’,aboutone quarter of a mile: 叟不遠千里而來 (Meng 1A1); 不積跬步，無以至千里 (Xun 1).",liX,lı́,,135888
